id,product_id,warehouse_id,quantity_available,reserved_quantity,reorder_level,safety_stock,last_restocked_at
1,1,1,34,2,150,50,2026-08-05 00:57:00
2,1,2,307,35,150,50,2026-08-19 00:57:00
3,1,3,20,1,150,50,2026-08-18 00:57:00
4,1,4,245,34,150,50,2026-08-08 00:57:00
5,2,1,214,26,80,30,2026-07-31 00:57:00
6,2,2,243,13,80,30,2026-08-15 00:57:00
7,2,3,361,44,80,30,2026-08-16 00:57:00
8,2,4,313,43,80,30,2026-08-22 00:57:00
9,3,1,457,45,300,100,2026-08-15 00:57:00
10,3,2,593,55,300,100,2026-08-18 00:57:00
11,3,3,368,45,300,100,2026-08-01 00:57:00
12,3,4,434,61,300,100,2026-08-03 00:57:00
13,4,1,1247,144,1000,400,2026-08-09 00:57:00
14,4,2,1101,128,1000,400,2026-08-20 00:57:00
15,4,3,1149,166,1000,400,2026-08-17 00:57:00
16,4,4,1070,144,1000,400,2026-08-20 00:57:00
17,5,1,313,30,50,15,2026-08-10 00:57:00
18,5,2,222,21,50,15,2026-08-05 00:57:00
19,5,3,249,36,50,15,2026-08-10 00:57:00
20,5,4,321,23,50,15,2026-07-31 00:57:00
21,6,1,9,0,20,5,2026-08-16 00:57:00
22,6,2,131,9,20,5,2026-08-25 00:57:00
23,6,3,6,0,20,5,2026-08-09 00:57:00
24,6,4,112,6,20,5,2026-08-16 00:57:00
25,7,1,317,47,40,10,2026-08-05 00:57:00
26,7,2,328,26,40,10,2026-08-18 00:57:00
27,7,3,194,26,40,10,2026-08-11 00:57:00
28,7,4,237,31,40,10,2026-07-31 00:57:00
29,8,1,171,25,100,25,2026-08-19 00:57:00
30,8,2,369,49,100,25,2026-08-15 00:57:00
31,8,3,255,19,100,25,2026-08-22 00:57:00
32,8,4,312,28,100,25,2026-08-03 00:57:00
33,9,1,291,14,60,20,2026-08-17 00:57:00
34,9,2,205,17,60,20,2026-08-20 00:57:00
35,9,3,249,30,60,20,2026-08-20 00:57:00
36,9,4,242,23,60,20,2026-07-29 00:57:00
37,10,1,144,18,30,10,2026-08-11 00:57:00
38,10,2,116,6,30,10,2026-08-14 00:57:00
39,10,3,265,25,30,10,2026-08-17 00:57:00
40,10,4,117,13,30,10,2026-08-07 00:57:00
41,11,1,652,34,500,200,2026-08-06 00:57:00
42,11,2,2308,308,500,200,2026-08-10 00:57:00
43,11,3,763,111,500,200,2026-07-28 00:57:00
44,11,4,779,87,500,200,2026-07-28 00:57:00
45,12,1,67,3,200,80,2026-08-13 00:57:00
46,12,2,461,59,200,80,2026-07-29 00:57:00
47,12,3,59,8,200,80,2026-08-07 00:57:00
48,12,4,300,34,200,80,2026-08-13 00:57:00
49,13,1,1708,208,1500,500,2026-08-10 00:57:00
50,13,2,1722,195,1500,500,2026-08-10 00:57:00
51,13,3,1744,88,1500,500,2026-08-21 00:57:00
52,13,4,1598,192,1500,500,2026-07-31 00:57:00
53,14,1,633,32,400,150,2026-08-01 00:57:00
54,14,2,632,66,400,150,2026-08-23 00:57:00
55,14,3,513,52,400,150,2026-08-22 00:57:00
56,14,4,658,87,400,150,2026-07-31 00:57:00
57,15,1,867,74,800,300,2026-08-19 00:57:00
58,15,2,1017,92,800,300,2026-08-21 00:57:00
59,15,3,953,131,800,300,2026-08-20 00:57:00
60,15,4,990,139,800,300,2026-08-12 00:57:00
61,16,1,546,38,400,100,2026-08-03 00:57:00
62,16,2,647,67,400,100,2026-08-05 00:57:00
63,16,3,668,43,400,100,2026-07-31 00:57:00
64,16,4,664,97,400,100,2026-07-31 00:57:00
65,17,1,336,39,75,25,2026-08-23 00:57:00
66,17,2,259,15,75,25,2026-08-15 00:57:00
67,17,3,287,20,75,25,2026-07-28 00:57:00
68,17,4,141,20,75,25,2026-08-16 00:57:00
69,18,1,284,18,120,40,2026-07-31 00:57:00
70,18,2,219,27,120,40,2026-08-06 00:57:00
71,18,3,316,43,120,40,2026-08-15 00:57:00
72,18,4,288,25,120,40,2026-08-05 00:57:00
73,19,1,524,74,250,80,2026-07-29 00:57:00
74,19,2,360,51,250,80,2026-08-07 00:57:00
75,19,3,484,37,250,80,2026-08-04 00:57:00
76,19,4,513,50,250,80,2026-08-13 00:57:00
77,20,1,174,12,30,10,2026-08-12 00:57:00
78,20,2,500,55,30,10,2026-08-06 00:57:00
79,20,3,229,33,30,10,2026-08-09 00:57:00
80,20,4,158,9,30,10,2026-08-08 00:57:00
81,21,1,281,20,90,30,2026-08-21 00:57:00
82,21,2,277,29,90,30,2026-08-10 00:57:00
83,21,3,363,54,90,30,2026-08-17 00:57:00
84,21,4,200,18,90,30,2026-08-03 00:57:00
85,22,1,325,41,25,10,2026-08-10 00:57:00
86,22,2,163,15,25,10,2026-08-20 00:57:00
87,22,3,240,18,25,10,2026-08-22 00:57:00
88,22,4,173,22,25,10,2026-08-12 00:57:00
89,23,1,398,56,150,50,2026-08-09 00:57:00
90,23,2,234,33,150,50,2026-08-22 00:57:00
91,23,3,208,14,150,50,2026-08-10 00:57:00
92,23,4,212,12,150,50,2026-08-13 00:57:00
93,24,1,622,74,500,150,2026-08-13 00:57:00
94,24,2,658,48,500,150,2026-08-11 00:57:00
95,24,3,586,51,500,150,2026-08-18 00:57:00
96,24,4,586,80,500,150,2026-08-07 00:57:00
97,25,1,887,94,600,200,2026-08-05 00:57:00
98,25,2,707,73,600,200,2026-08-19 00:57:00
99,25,3,747,38,600,200,2026-08-09 00:57:00
100,25,4,664,84,600,200,2026-08-01 00:57:00
