id,order_id,product_id,quantity,unit_price
1,1,5,16,185.00
2,1,24,53,22.00
3,2,2,24,120.00
4,2,1,42,45.00
5,2,3,48,18.50
6,2,7,11,340.00
7,3,8,10,115.00
8,3,15,58,14.00
9,3,19,20,45.00
10,3,9,54,210.00
11,4,7,31,340.00
12,4,25,16,16.50
13,5,12,12,42.00
14,5,20,56,260.00
15,5,9,39,210.00
16,6,18,28,92.00
17,7,23,12,75.00
18,7,3,52,18.50
19,8,4,27,6.50
20,8,13,39,8.50
21,9,12,27,42.00
22,9,7,54,340.00
23,9,22,53,380.00
24,10,18,25,92.00
25,10,24,20,22.00
26,11,22,59,380.00
27,11,11,59,25.00
28,12,13,23,8.50
29,12,9,46,210.00
30,12,3,55,18.50
31,13,13,26,8.50
32,13,21,18,160.00
33,13,15,25,14.00
34,13,5,57,185.00
35,14,19,18,45.00
36,14,13,42,8.50
37,14,12,41,42.00
38,14,8,15,115.00
39,15,21,60,160.00
40,15,6,53,850.00
41,16,20,45,260.00
42,16,15,10,14.00
43,16,17,53,145.00
44,16,9,56,210.00
45,17,4,20,6.50
46,17,10,39,490.00
47,17,14,10,32.00
48,18,17,50,145.00
49,18,4,29,6.50
50,19,25,59,16.50
51,19,6,43,850.00
52,19,18,10,92.00
53,20,4,33,6.50
54,21,8,46,115.00
55,22,3,18,18.50
56,22,25,52,16.50
57,22,18,40,92.00
58,22,5,45,185.00
59,23,7,54,340.00
60,23,18,22,92.00
61,23,25,55,16.50
62,23,24,29,22.00
63,24,4,11,6.50
64,24,8,47,115.00
65,24,3,45,18.50
66,24,11,24,25.00
67,25,23,50,75.00
68,26,11,14,25.00
69,27,7,46,340.00
70,27,18,46,92.00
71,27,5,40,185.00
72,27,24,25,22.00
73,28,4,37,6.50
74,28,22,32,380.00
75,29,22,51,380.00
76,30,24,22,22.00
77,30,11,22,25.00
78,30,4,44,6.50
79,30,8,38,115.00
80,31,15,38,14.00
81,31,8,45,115.00
82,31,3,16,18.50
83,32,6,41,850.00
84,32,14,40,32.00
85,33,13,34,8.50
86,33,1,26,45.00
87,34,23,55,75.00
88,34,24,41,22.00
89,34,18,19,92.00
90,34,22,22,380.00
91,35,24,30,22.00
92,36,17,21,145.00
93,36,6,14,850.00
94,36,2,48,120.00
95,36,3,14,18.50
96,37,19,25,45.00
97,38,14,52,32.00
98,39,22,30,380.00
99,39,23,25,75.00
100,40,15,14,14.00
101,40,11,10,25.00
102,40,25,39,16.50
103,41,17,18,145.00
104,41,9,32,210.00
105,42,6,55,850.00
106,42,15,29,14.00
107,42,18,49,92.00
108,43,22,26,380.00
109,43,4,17,6.50
110,43,5,16,185.00
111,44,20,31,260.00
112,44,7,23,340.00
113,44,23,53,75.00
114,45,9,37,210.00
115,45,2,27,120.00
116,45,3,12,18.50
117,45,21,10,160.00
118,46,6,45,850.00
119,46,24,55,22.00
120,46,15,37,14.00
121,47,23,19,75.00
122,48,14,12,32.00
123,48,5,29,185.00
124,49,22,52,380.00
125,49,8,16,115.00
126,50,8,21,115.00
127,50,6,36,850.00
128,51,14,25,32.00
129,51,22,27,380.00
130,51,24,20,22.00
131,52,7,32,340.00
132,52,15,29,14.00
133,53,22,22,380.00
134,54,25,27,16.50
135,55,1,21,45.00
136,55,4,47,6.50
137,55,9,26,210.00
138,56,12,48,42.00
139,56,24,42,22.00
140,56,11,17,25.00
141,56,14,34,32.00
142,57,23,37,75.00
143,58,3,30,18.50
144,58,22,52,380.00
145,58,11,17,25.00
146,58,20,56,260.00
147,59,11,45,25.00
148,59,13,18,8.50
149,59,23,22,75.00
150,59,10,36,490.00
151,60,20,29,260.00
152,60,19,35,45.00
153,61,7,48,340.00
154,61,14,51,32.00
155,61,19,30,45.00
156,62,17,60,145.00
157,62,16,60,28.00
158,63,10,42,490.00
159,64,22,24,380.00
160,64,10,22,490.00
161,65,16,59,28.00
162,65,20,14,260.00
163,66,23,41,75.00
164,66,13,35,8.50
165,67,25,59,16.50
166,68,23,39,75.00
167,68,17,13,145.00
168,69,5,45,185.00
169,69,15,48,14.00
170,69,22,30,380.00
171,69,17,58,145.00
172,70,6,26,850.00
173,70,24,58,22.00
174,70,16,25,28.00
175,70,15,50,14.00
176,71,9,14,210.00
177,71,15,55,14.00
178,72,11,18,25.00
179,72,18,19,92.00
180,72,3,24,18.50
181,73,3,36,18.50
182,73,14,31,32.00
183,74,7,36,340.00
184,75,16,58,28.00
185,75,1,34,45.00
186,75,12,36,42.00
187,75,10,44,490.00
188,76,9,41,210.00
189,76,14,11,32.00
190,77,24,49,22.00
191,77,6,44,850.00
192,77,15,11,14.00
193,77,5,35,185.00
194,78,5,26,185.00
195,78,15,34,14.00
196,78,6,30,850.00
197,78,2,23,120.00
198,79,9,40,210.00
199,79,25,11,16.50
200,79,14,57,32.00
201,79,3,44,18.50
202,80,25,51,16.50
203,81,1,19,45.00
204,81,20,25,260.00
205,82,19,23,45.00
206,83,20,55,260.00
207,83,24,17,22.00
208,84,19,11,45.00
209,85,3,54,18.50
210,85,19,50,45.00
211,86,22,60,380.00
212,86,20,46,260.00
213,86,4,60,6.50
214,87,22,51,380.00
215,87,12,31,42.00
216,87,3,10,18.50
217,87,17,36,145.00
218,88,12,19,42.00
219,88,21,37,160.00
220,88,15,21,14.00
221,88,23,56,75.00
222,89,15,27,14.00
