id,tracking_code,supplier_id,destination_warehouse_id,order_id,origin,destination,shipped_date,estimated_delivery_date,actual_delivery_date,status,delay_days,carrier_name
1,TRK-41369-US,4,4,1,"Tokyo, Japan","Newark, NJ",2025-09-03,2025-09-08,2025-09-08,DELIVERED,0,Pacific Maritime Shippers
2,TRK-77215-US,5,3,2,"Seoul, South Korea","Oakland, CA",2025-09-27,2025-10-06,2025-10-06,DELIVERED,0,FastTrack Parcel Services
3,TRK-58589-US,6,2,3,"Seoul, South Korea","Dallas, TX",2025-09-21,2025-09-28,2025-09-28,DELIVERED,0,Pacific Maritime Shippers
4,TRK-48691-US,9,4,4,"Taipei, Taiwan","Newark, NJ",2025-09-15,2025-09-24,2025-09-28,DELAYED,4,Apex Logistics Freight
5,TRK-43728-US,8,3,5,"Dallas, TX","Oakland, CA",2025-09-05,2025-09-13,2025-09-13,DELIVERED,0,FastTrack Parcel Services
6,TRK-28344-US,6,2,6,"Taipei, Taiwan","Dallas, TX",2025-09-20,2025-09-27,2025-09-27,DELIVERED,0,FastTrack Parcel Services
7,TRK-10836-US,2,1,8,"Taipei, Taiwan","Chicago, IL",2025-09-11,2025-09-15,2025-09-15,DELIVERED,0,FastTrack Parcel Services
8,TRK-17923-US,8,3,10,"Dallas, TX","Oakland, CA",2025-09-24,2025-09-29,2025-10-05,DELAYED,6,FastTrack Parcel Services
9,TRK-79391-US,1,1,11,"Chicago, IL","Chicago, IL",2025-09-16,2025-09-24,2025-09-24,DELIVERED,0,Pacific Maritime Shippers
10,TRK-22624-US,3,1,13,"Taipei, Taiwan","Chicago, IL",2025-09-14,2025-09-23,2025-09-23,DELIVERED,0,Apex Logistics Freight
11,TRK-20357-US,5,4,14,"Seoul, South Korea","Newark, NJ",2025-09-21,2025-09-27,2025-09-27,DELIVERED,0,Pacific Maritime Shippers
12,TRK-22255-US,2,1,15,"Seoul, South Korea","Chicago, IL",2025-09-26,2025-10-05,2025-10-05,DELIVERED,0,FastTrack Parcel Services
13,TRK-75517-US,3,1,16,"Dallas, TX","Chicago, IL",2025-09-16,2025-09-20,2025-09-20,DELIVERED,0,FastTrack Parcel Services
14,TRK-40115-US,9,1,17,"Dallas, TX","Chicago, IL",2025-09-07,2025-09-17,2025-09-17,DELIVERED,0,Apex Logistics Freight
15,TRK-33508-US,5,1,19,"Stuttgart, Germany","Chicago, IL",2025-09-28,2025-10-02,2025-10-02,DELIVERED,0,Pacific Maritime Shippers
16,TRK-31292-US,2,3,21,"Chicago, IL","Oakland, CA",2025-09-30,2025-10-10,2025-10-10,DELIVERED,0,Apex Logistics Freight
17,TRK-75639-US,3,1,23,"Stuttgart, Germany","Chicago, IL",2025-09-09,2025-09-15,2025-09-15,DELIVERED,0,Pacific Maritime Shippers
18,TRK-52778-US,10,4,24,"Dallas, TX","Newark, NJ",2025-10-23,2025-11-02,2025-11-08,DELAYED,6,Global Cargo Express
19,TRK-66603-US,9,4,25,"Dallas, TX","Newark, NJ",2025-10-21,2025-10-28,2025-10-28,DELIVERED,0,Apex Logistics Freight
20,TRK-19634-US,5,2,26,"Tokyo, Japan","Dallas, TX",2025-10-04,2025-10-08,2025-10-08,DELIVERED,0,Global Cargo Express
21,TRK-57277-US,7,3,27,"Stuttgart, Germany","Oakland, CA",2025-10-20,2025-10-30,2025-10-30,DELIVERED,0,Global Cargo Express
22,TRK-27367-US,5,1,28,"Taipei, Taiwan","Chicago, IL",2025-10-28,2025-11-04,2025-11-04,DELIVERED,0,Global Cargo Express
23,TRK-21746-US,2,1,29,"Chicago, IL","Chicago, IL",2025-10-17,2025-10-25,2025-10-25,DELIVERED,0,Pacific Maritime Shippers
24,TRK-48253-US,7,1,30,"Seoul, South Korea","Chicago, IL",2025-10-24,2025-11-03,2025-11-03,DELIVERED,0,FastTrack Parcel Services
25,TRK-99825-US,4,2,31,"Taipei, Taiwan","Dallas, TX",2025-10-08,2025-10-16,2025-10-16,DELIVERED,0,FastTrack Parcel Services
26,TRK-66973-US,2,2,32,"Seoul, South Korea","Dallas, TX",2025-10-04,2025-10-10,2025-10-10,DELIVERED,0,Pacific Maritime Shippers
27,TRK-87831-US,4,4,33,"Seoul, South Korea","Newark, NJ",2025-10-08,2025-10-14,2025-10-14,DELIVERED,0,Apex Logistics Freight
28,TRK-53193-US,6,4,34,"Tokyo, Japan","Newark, NJ",2025-10-28,2025-11-01,2025-11-01,DELIVERED,0,FastTrack Parcel Services
29,TRK-72784-US,10,2,35,"Taipei, Taiwan","Dallas, TX",2025-10-13,2025-10-21,2025-10-25,DELAYED,4,Pacific Maritime Shippers
30,TRK-52714-US,10,2,38,"Tokyo, Japan","Dallas, TX",2025-10-22,2025-10-31,2025-10-31,DELIVERED,0,FastTrack Parcel Services
31,TRK-99353-US,9,2,40,"Dallas, TX","Dallas, TX",2025-10-10,2025-10-18,2025-10-18,DELIVERED,0,Global Cargo Express
32,TRK-63627-US,5,1,41,"Taipei, Taiwan","Chicago, IL",2025-10-23,2025-10-28,2025-10-28,DELIVERED,0,FastTrack Parcel Services
33,TRK-19694-US,7,4,42,"Chicago, IL","Newark, NJ",2025-10-04,2025-10-10,2025-10-10,DELIVERED,0,FastTrack Parcel Services
34,TRK-57124-US,7,1,43,"Stuttgart, Germany","Chicago, IL",2025-10-28,2025-11-05,2025-11-05,DELIVERED,0,Global Cargo Express
35,TRK-83822-US,10,1,44,"Tokyo, Japan","Chicago, IL",2025-10-27,2025-11-05,2025-11-05,DELIVERED,0,FastTrack Parcel Services
36,TRK-68429-US,9,2,46,"Seoul, South Korea","Dallas, TX",2025-10-12,2025-10-16,2025-10-16,DELIVERED,0,Pacific Maritime Shippers
37,TRK-13219-US,3,3,47,"Stuttgart, Germany","Oakland, CA",2025-10-21,2025-10-29,2025-10-29,DELIVERED,0,FastTrack Parcel Services
38,TRK-50880-US,3,3,48,"Seoul, South Korea","Oakland, CA",2025-10-19,2025-10-23,2025-10-23,DELIVERED,0,Pacific Maritime Shippers
39,TRK-69303-US,2,4,49,"Stuttgart, Germany","Newark, NJ",2025-10-15,2025-10-22,2025-10-22,DELIVERED,0,Pacific Maritime Shippers
40,TRK-41970-US,2,2,50,"Chicago, IL","Dallas, TX",2025-10-15,2025-10-19,2025-10-23,DELAYED,4,Apex Logistics Freight
41,TRK-92543-US,4,4,51,"Taipei, Taiwan","Newark, NJ",2025-10-04,2025-10-11,2025-10-11,DELIVERED,0,Apex Logistics Freight
42,TRK-87621-US,4,4,52,"Seoul, South Korea","Newark, NJ",2025-11-15,2025-11-22,2025-11-28,DELAYED,6,FastTrack Parcel Services
43,TRK-80371-US,2,1,53,"Tokyo, Japan","Chicago, IL",2025-11-28,2025-12-03,2025-12-03,DELIVERED,0,Apex Logistics Freight
