id,supplier_id,product_id,contract_price,lead_time_days,minimum_order_quantity,is_preferred_supplier
1,2,1,39.60,7,50,true
2,5,1,41.40,10,20,false
3,3,2,105.60,10,10,true
4,4,3,16.28,5,50,true
5,7,3,17.02,8,20,false
6,5,4,5.72,14,50,true
7,6,5,162.80,12,10,true
8,9,5,170.20,15,20,false
9,7,6,748.00,14,10,true
10,8,7,299.20,10,10,true
11,1,7,312.80,13,20,false
12,9,8,101.20,7,10,true
13,10,9,184.80,15,10,true
14,3,9,193.20,18,20,false
15,1,10,431.20,21,10,true
16,2,11,22.00,5,50,true
17,5,11,23.00,8,20,false
18,3,12,36.96,4,50,true
19,4,13,7.48,3,50,true
20,7,13,7.82,6,20,false
21,5,14,28.16,5,50,true
22,6,15,12.32,3,50,true
23,9,15,12.88,6,20,false
24,7,16,24.64,8,50,true
25,8,17,127.60,14,10,true
26,1,17,133.40,17,20,false
27,9,18,80.96,10,50,true
28,10,19,39.60,12,50,true
29,3,19,41.40,15,20,false
30,1,20,228.80,20,10,true
31,2,21,140.80,7,10,true
32,5,21,147.20,10,20,false
33,3,22,334.40,10,10,true
34,4,23,66.00,6,50,true
35,7,23,69.00,9,20,false
36,5,24,19.36,5,50,true
37,6,25,14.52,4,50,true
38,9,25,15.18,7,20,false
